Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample170,5,C-353899,100,27,117.96,6/11/10,46.1379,-117.8107,6.4,21.5,26.1,52.4,6.601925313,117.5103998,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,170788,50362,156699,26435
Sample171,5,C-353916,105,46.7,248.3,6/15/10,47.9558,-119.5036,7.2,12.5,45.7,41.8,8.938844862,24.54477216,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,101169,52844,92333,36943
Sample172,5,C-353921,99,34.1,105.02,7/14/10,46.915,-122.9088,5.9,3.2,85,11.8,10.25750885,104.7091031,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,39508,37356,36781,24941
Sample173,5,C-353926,105,38.6,305.2,6/22/10,46.0734,-121.599,6.1,15,44.3,40.7,7.253100349,127.0920274,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,79907,11929,74859,3849
Sample174,5,C-353951,111,1.06,114.79,6/14/10,48.9349,-117.3165,6.6,5.9,67,27.1,6.674919747,60.03381383,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,24255,53754,23729,11894
Sample175,5,C-353960,114,0.62,12.24,7/21/10,48.2593,-121.7082,5.3,5,59.5,35.5,8.924625403,231.7870359,Temperate,Without dry season,Warm summer,Temperate_Without dry season,Temperate_Without dry season_Warm summer,441,497,397,2
Sample176,5,C-353997,105,28,198.21,7/16/10,47.015,-120.7162,7.1,29.9,34.5,35.6,7.708903154,38.84381122,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,109129,40404,104492,21960
Sample177,5,C-354443,100,0.78,19.39,8/12/10,44.1344,-85.0809,5.8,8.5,9,82.5,6.542797547,67.8042639,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,35321,3248,32923,1295
Sample178,5,C-354445,103,45.4,210.05,8/5/10,42.9917,-82.9077,5.3,19.4,38.2,42.4,8.429236497,67.39614167,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,89872,53103,81014,35859
Sample179,5,C-354476,107,0.77,1.21,8/8/10,42.2945,-86.2951,5.5,6,1.9,92.1,9.48130042,75.37560552,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,55010,1015,52148,1
Sample180,5,C-354480,102,50,178.22,8/3/10,42.1042,-84.4093,6.5,10,23.4,66.6,8.924408738,72.94847498,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,168016,137203,141905,51655
Sample181,5,C-354481,101,30.4,137.38,6/28/10,45.9411,-88.0552,6.4,11.7,18.2,70.1,4.917047471,61.66819166,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,103215,24055,88790,11292
Sample182,5,C-354995,105,0.31,39.24,6/9/10,44.5314,-88.8543,6.1,10.3,60,21.6,6.869939191,66.42761958,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,141430,3172,132908,0
Sample183,5,C-355030,101,20.8,126.54,8/29/10,46.3653,-90.6472,4,6.6,54,17,4.92090581,69.37788619,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,58845,5057,55922,1760
Sample184,5,C-355031,110,56,221.81,8/26/10,43.7362,-91.0012,6.4,19.4,28.3,59.9,7.331725367,70.54266936,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,67614,81866,55746,49537
Sample185,5,C-355064,103,53,309.86,8/24/10,42.8983,-88.8791,7,11.5,44.1,49.3,8.390175385,72.51217208,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,63048,75739,50288,45437
Sample186,5,C-355593,100,0,35.72,6/22/10,34.572,-119.258,6.5,27.5,37.5,35,12.60579506,74.68453307,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,62,398,44,7
Sample187,5,C-355604,115,56,175.37,7/5/10,38.453,-122.8256,5.3,20,42.1,37.9,13.93293121,82.1015029,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,63603,74471,48438,51718
Sample188,5,C-355622,99,10.6,278.01,6/7/10,34.371,-114.52,8.2,9,65.2,25.8,22.18950941,11.78786108,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,76055,77899,68839,42111
Sample189,5,C-355649,102,54,386.4,7/14/10,39.3164,-121.5093,7,13.1,70.4,16.5,16.40028137,59.82133908,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,69908,82386,56130,47791
Sample190,5,C-355674,101,4.3,141.37,7/27/10,41.8719,-123.1347,6,15,65.9,19.1,11.48212832,72.99737774,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,108858,18338,99727,9865
Sample191,5,C-355682,99,6.8,95.47,7/22/10,40.475,-120.575,6.7,21.5,41.4,37.1,8.575967053,37.95512229,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,1933,48288,852,20659
Sample192,5,C-355737,102,2.27,250.95,7/3/10,36.7833,-118.639,6,10,66.9,23.1,9.598172653,78.74683339,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,65803,87003,61965,42643
Sample193,5,C-355750,118,0,32.92,6/17/10,36.618,-117.065,8.5,10.5,74.1,15.4,24.30492341,5.571238885,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,144,1157,11,33
Sample194,5,C-355751,99,10.5,134.77,7/27/10,41.8772,-121.7266,7.9,29.4,26.5,44.1,7.974422578,26.22675839,Cold,Dry summer,Warm summer,Cold_Dry summer,Cold_Dry summer_Warm summer,4191,101306,3813,54973
Sample195,5,C-355754,99,37.5,141.74,7/12/10,39.129,-120.807,6.1,20,42.1,37.9,13.42106452,125.5333914,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,10205,92904,9468,66764
Sample196,5,C-355778,102,57,20.46,6/21/10,35.6085,-118.9234,7.7,27.5,55.1,17.4,17.02658134,22.28185551,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,961175,997843,822490,540180
Sample197,5,C-355792,109,44,194.49,7/7/10,37.179,-122.219,6,22.3,39,38.7,14.63115348,90.36265884,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,68915,100371,62058,73276
Sample198,5,C-355806,105,49.6,44.84,6/25/10,36.5455,-120.8364,7.9,18.5,66.5,15,15.28601187,26.12499719,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,536446,550908,444968,397014
Sample199,5,C-355825,98,14.5,334.45,6/23/10,34.9288,-120.5233,7.5,15,66,19,14.16937288,32.68186108,Temperate,Dry summer,Warm summer,Temperate_Dry summer,Temperate_Dry summer_Warm summer,98029,110089,89555,76483
Sample200,5,C-358806,100,24.4,96.52,6/2/10,33.5753,-102.328,7.5,16.1,67.5,16.4,15.26828128,41.22144447,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,162713,189516,141656,125558
Sample201,5,C-358818,107,53,186.22,6/5/10,32.557,-102.7465,7.4,9,85.2,5.8,16.582573,34.47295279,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,86663,106465,78427,71445
Sample202,5,C-364509,99,2.54,154.08,8/19/10,41.1315,-79.1485,4.5,9.4,37.3,53.3,8.643175392,95.34743345,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,87099,20981,81323,14701
Sample203,5,C-320933,103,3.53,130.99,7/7/08,39.6081,-75.4075,NA,NA,NA,NA,13.04330062,95.55621377,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,148119,12030,131235,5308
Sample204,5,C-358812,101,0,29.34,6/12/10,29.6175,-103.0211,NA,NA,NA,NA,20.38873987,19.92625283,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,39083,2518,36837,12
Sample205,5,C-358863,106,0.78,82.15,6/7/10,31.2234,-102.6203,NA,NA,NA,NA,18.871137,26.81520832,Arid,Steppe,Hot,Arid_Steppe,Arid_Steppe_Hot,101710,3546,93486,0
SampleR1,5,C-313862,106,46.8,180.43,8/4/08,31.9566,-92.1629,5,27,21.6,51.4,18.33357036,123.2120556,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,22305,21095,20916,11752
SampleR10,6,C-328127,113,11.9,131.78,3/10/09,31.5872,-84.061,4.6,27.8,27.9,44.3,18.97968979,106.9547168,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,12365,14082,11942,8059
SampleR11,6,C-328376,100,12.7,141.33,3/14/09,34.9603,-81.5781,5.5,41.3,30.7,28,15.24611185,95.80219701,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,40825,22639,38741,13948
SampleR12,6,C-328390,97,7.4,149.97,3/12/09,32.613,-80.4425,5.4,17.3,20.3,62.4,19.00220645,103.5149279,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,23539,44509,23233,24021
SampleR13,6,C-328486,112,0.62,54.06,3/16/09,32.934,-79.6955,4.7,10,6.5,83.5,18.6853148,110.2093774,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,40306,53639,38998,27494
SampleR14,6,C-328490,102,1.59,186.74,3/13/09,34.4184,-82.798,5.2,27.9,18.3,53.8,16.16176188,99.51661676,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,22529,17552,22183,10998
SampleR15,6,C-328607,107,6.78,14.72,2/14/09,29.2011,-82.4498,5.2,1.5,2.2,96.3,20.9651232,112.9585611,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,54154,136777,52500,73007
SampleR16,6,C-328622,111,8.74,17.56,2/6/09,26.4541,-81.2743,5.3,0.7,0.6,98.7,23.23611779,112.1245831,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,177794,156352,168458,79818
SampleR17,6,C-328679,108,1.36,63.58,2/16/09,30.9517,-85.2423,5.4,8.7,19.3,72,19.61238707,115.8735388,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,26716,69425,26120,49669
SampleR18,6,C-328742,96,2.16,273.14,2/13/09,30.2922,-82.0632,5.1,1.6,5.4,93,19.87376479,108.0257834,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,26754,21526,26188,12494
SampleR19,6,C-328761,108,0.99,58.8,2/11/09,28.325,-81.2213,4.8,0.8,0.8,98.4,22.50461773,103.0816111,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,18521,39954,18131,22797
SampleR2,5,C-313867,100,0.23,112.85,7/29/08,29.4227,-90.7658,6.3,32,61.9,6.1,20.44832318,133.9685166,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,87858,14296,82000,8005
SampleR20,6,C-328784,103,42.3,246.03,2/21/09,33.2135,-88.2789,4.6,8.8,8.2,83,17.22073137,113.8801191,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,37764,12710,35329,7683
SampleR21,6,C-328816,101,1.2,21.96,2/17/09,30.8919,-88.0869,5.3,2.5,12,85.5,19.15227313,137.0307333,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,264091,108889,259710,35494
SampleR22,6,C-328869,107,4.56,168.51,2/18/09,31.5975,-86.5142,4.8,40.4,18.1,41.5,18.26680363,120.8581279,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,14876,18825,14728,9602
SampleR23,6,C-329052,103,3.94,69.91,2/17/09,31.3746,-88.0048,5.1,17.8,19.3,62.9,18.39951475,125.9181806,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,49633,25068,48917,10413
SampleR24,6,C-329068,104,12.7,47.66,2/24/09,33.5162,-86.2427,5,23.5,38.5,38,16.48350911,111.2062808,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,136920,245840,133506,160398
SampleR25,6,C-351414,103,10.4,219.46,7/30/10,34.947,-78.1911,5.3,NA,NA,NA,16.56549796,102.0047165,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,17061,5633,16514,2886
SampleR26,6,C-351422,113,26.7,27.32,8/1/10,35.3233,-76.5996,4.8,NA,NA,NA,17.16663139,108.7870777,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,423451,272810,400857,160974
SampleR27,6,C-351461,100,19.9,34.69,7/11/10,33.9985,-113.1254,8.1,16.4,18.3,65.3,18.82508979,18.46768339,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,128689,276218,121325,154432
SampleR28,6,C-351466,104,29.5,43.22,7/9/10,32.7395,-113.7392,NA,NA,NA,NA,22.38882331,8.432913881,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,247613,216335,239644,156441
SampleR29,6,C-351601,110,0.72,131.68,7/6/10,32.8869,-111.5453,8.4,17.7,70.1,12.2,21.43970658,20.56877215,Arid,Desert,Hot,Arid_Desert,Arid_Desert_Hot,21270,44362,20697,29714
SampleR3,5,C-313883,101,5.29,159.38,7/19/08,33.2639,-88.9276,4.5,NA,NA,NA,17.19983969,117.1304275,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,33745,33718,33164,20372
SampleR30,6,C-352660,111,40.5,161.01,7/17/10,35.4659,-88.4277,4.9,8.5,26.9,64.6,15.13481181,116.1071166,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,76222,43057,73509,28376
SampleR31,6,C-356812,101,10.1,268.05,6/25/10,32.6272,-96.8991,8.2,44,8.8,47.2,18.463712,83.91188613,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,34244,27382,32021,14529
SampleR32,6,C-356821,106,48.4,57.55,6/10/10,31.837,-99.349,7,33.1,31.5,35.4,18.47399807,59.63751658,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,221066,164792,197230,98935
SampleR33,6,C-356852,102,8.49,33.67,7/26/10,26.917,-98.0944,6.4,2,95,3,22.88571497,50.5236362,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,182535,145593,155217,72639
SampleR34,6,C-356876,95,10.5,32.05,7/6/10,30.36,-94.1834,4.9,7.8,52.8,39.4,19.65595092,122.2451084,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,177717,81109,172069,36594
SampleR35,6,C-356900,106,43.2,99.97,7/5/10,31.313,-93.906,4.9,36.4,35.5,28.1,18.70149258,114.9298806,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,8681,52200,8449,34979
SampleR36,6,C-356904,100,51,491.07,6/2/10,33.2026,-97.9583,7.5,23.5,39.2,37.3,17.46661198,73.11351135,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,24416,25893,22194,16781
SampleR37,6,C-356932,100,15.1,114.47,6/15/10,29.8342,-100.6921,7.9,42.5,7.7,49.8,19.59392874,48.04330565,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,116750,3932,110874,792
SampleR38,6,C-356939,102,9.22,94.38,6/17/10,29.8807,-99.1511,7.5,50,22.1,27.9,18.14367033,72.93661125,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,42912,29552,37952,21426
SampleR39,6,C-356940,107,3.79,49.66,6/28/10,32.3441,-95.7364,6.4,7.9,9.5,82.6,18.31408423,89.91269447,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,100062,262856,97182,133259
SampleR4,5,C-313923,110,45.9,324.95,7/18/08,33.1902,-90.8648,6.2,NA,NA,NA,17.91179255,114.1832552,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,99635,106920,89560,64627
SampleR40,6,C-356958,110,22.5,69.65,7/15/10,29.8837,-96.9207,5.9,19.5,53.4,27.1,20.5210232,82.22347224,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,153912,65783,145204,37623
SampleR41,6,C-357122,117,7.71,161.92,7/23/10,27.7701,-99.007,7.9,37,30,33,22.58922334,45.05729713,Arid,Steppe,Hot,Arid_Steppe,Arid_Steppe_Hot,25547,14308,24142,8802
SampleR42,6,C-357124,102,30.7,283.97,7/8/10,29.943,-95.225,4.8,7.8,60.9,31.3,20.71506212,115.7513054,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,33140,17282,31158,10773
SampleR43,6,C-357147,101,56,46.48,6/24/10,32.4927,-97.9279,7.1,28.8,57.8,13.4,18.35544532,68.90797778,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,260736,209255,223356,122486
SampleR44,6,C-357181,105,12.2,126.63,6/9/10,31.6102,-100.5845,8.2,38,26.5,35.5,17.86640087,46.55361129,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,38293,12792,34817,8076
SampleR45,6,C-357221,101,48.8,59.82,7/27/10,27.8132,-97.6816,7,43.1,33.9,23,22.22753439,64.12501673,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,175172,225572,117514,136525
SampleR5,5,C-313931,107,49.1,324.66,7/23/08,31.5513,-89.5899,5.1,NA,NA,NA,18.31034256,124.3498138,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,61373,109240,56076,28436
SampleR6,6,C-327748,103,1.07,18.44,4/18/09,32.9031,-107.0008,8.1,NA,NA,44.4,15.13884514,23.43143894,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,38571,920,37983,0
SampleR7,6,C-327804,100,17.2,137.36,3/19/09,34.1515,-95.9041,5.3,15.5,67.2,17.3,16.84821744,94.82770572,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,14860,25424,14173,14330
SampleR8,6,C-328088,118,0.43,13.75,2/28/09,34.2936,-84.4965,5,34.8,21.9,43.3,14.92677848,113.584914,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,16204,1469,15666,44
SampleR9,6,C-328091,103,1.1,138.76,3/5/09,32.6712,-82.7933,5.3,11.2,10.7,78.1,18.06066753,94.97115836,Temperate,Without dry season,Hot summer,Temperate_Without dry season,Temperate_Without dry season_Hot summer,17699,20129,16908,10945